"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 08, 2021","410.70","413.00","419.80","399.70","78.95K","-1.11%"
"Nov 05, 2021","415.30","423.70","425.50","410.20","37.67K","-3.55%"
"Nov 04, 2021","430.60","420.00","433.80","420.00","5.98K","1.53%"
"Nov 03, 2021","424.10","413.80","429.50","407.90","74.20K","3.41%"
"Nov 02, 2021","410.10","392.00","413.70","391.00","79.38K","5.26%"
"Nov 01, 2021","389.60","406.90","413.00","387.30","70.16K","-4.74%"
"Oct 29, 2021","409.00","426.70","438.40","408.00","89.92K","-6.13%"
"Oct 28, 2021","435.70","458.30","465.30","430.50","114.45K","-6.44%"
"Oct 27, 2021","465.70","448.60","470.00","443.00","109.13K","5.15%"
"Oct 26, 2021","442.90","453.10","457.60","420.70","5.32K","0.84%"
"Oct 25, 2021","439.20","398.00","446.80","398.00","17.19K","12.01%"
"Oct 22, 2021","392.10","386.00","403.00","383.20","38.33K","1.84%"
"Oct 21, 2021","385.00","387.10","387.60","375.00","76.90K","-0.80%"
"Oct 20, 2021","388.10","377.00","390.60","367.80","93.22K","2.19%"
"Oct 19, 2021","379.80","371.70","383.40","363.00","111.81K","-0.58%"
"Oct 18, 2021","382.00","395.00","405.80","379.00","107.86K","-6.97%"
"Oct 15, 2021","410.60","429.70","429.70","408.30","73.21K","-5.37%"
"Oct 14, 2021","433.90","420.50","445.80","420.50","91.57K","3.93%"
"Oct 13, 2021","417.50","411.50","419.50","404.00","105.86K","0.77%"
"Oct 12, 2021","414.30","408.80","416.00","391.50","121.17K","2.12%"
"Oct 11, 2021","405.70","422.50","437.30","401.20","132.77K","-3.89%"
"Oct 08, 2021","422.10","430.00","441.90","419.40","136.07K","-0.45%"
"Oct 07, 2021","424.00","425.90","434.20","403.50","236.62K","-1.60%"
"Oct 06, 2021","430.90","465.00","485.00","424.80","256.63K","-8.88%"
"Oct 05, 2021","472.90","436.50","476.20","435.30","141.83K","9.04%"
"Oct 04, 2021","433.70","425.60","451.30","421.70","150.63K","3.48%"
"Oct 01, 2021","419.10","439.00","446.50","413.30","102.84K","-2.26%"
"Sep 30, 2021","428.80","408.00","432.40","406.30","207.70K","5.10%"
"Sep 29, 2021","408.00","433.40","436.40","404.50","154.16K","-5.23%"
"Sep 28, 2021","430.50","426.10","467.80","420.20","357.34K","4.31%"
"Sep 27, 2021","412.70","380.00","415.70","380.00","6.17K","9.44%"
"Sep 24, 2021","377.10","375.80","379.50","368.50","20.36K","2.78%"
"Sep 23, 2021","366.90","353.50","369.90","349.80","53.37K","2.86%"
"Sep 22, 2021","356.70","355.00","361.90","353.20","62.76K","1.02%"
"Sep 21, 2021","353.10","367.50","371.70","349.90","105.74K","-5.13%"
"Sep 20, 2021","372.20","378.90","381.20","366.00","142.76K","-2.67%"
"Sep 17, 2021","382.40","390.60","397.00","379.80","113.59K","-1.82%"
"Sep 16, 2021","389.50","401.40","412.30","384.60","177.38K","-2.75%"
"Sep 15, 2021","400.50","390.00","414.80","389.20","184.93K","2.32%"
"Sep 14, 2021","391.40","383.70","396.40","381.00","133.61K","1.58%"
"Sep 13, 2021","385.30","365.10","387.00","361.20","121.06K","5.53%"
"Sep 10, 2021","365.10","368.30","375.00","361.50","59.94K","-1.19%"
"Sep 09, 2021","369.50","362.60","371.30","354.90","139.39K","1.93%"
"Sep 08, 2021","362.50","338.00","369.90","338.00","172.11K","7.79%"
"Sep 07, 2021","336.30","340.10","344.90","335.00","113.94K","-1.98%"
"Sep 06, 2021","343.10","345.00","349.30","341.30","62.49K","0.41%"
"Sep 03, 2021","341.70","338.70","344.50","337.40","85.70K","0.29%"
"Sep 02, 2021","340.70","336.80","345.50","334.40","171.35K","-0.15%"
"Sep 01, 2021","341.20","319.50","343.70","319.50","184.16K","7.19%"
"Aug 31, 2021","318.30","315.50","322.60","308.10","181.92K","0.82%"
"Aug 30, 2021","315.70","324.90","331.20","310.00","182.87K","-1.80%"
"Aug 27, 2021","321.50","316.50","325.90","311.60","181.44K","3.98%"
"Aug 26, 2021","309.20","290.80","313.80","289.00","6.57K","6.92%"
"Aug 25, 2021","289.20","287.20","296.00","286.70","18.53K","0.10%"
"Aug 24, 2021","288.90","291.90","294.50","288.20","28.53K","-0.69%"
"Aug 23, 2021","290.90","288.50","292.00","286.10","40.61K","0.83%"
"Aug 20, 2021","288.50","284.90","293.80","284.90","75.51K","1.41%"
"Aug 19, 2021","284.50","286.60","286.60","278.10","99.96K","-0.66%"
"Aug 18, 2021","286.40","285.30","288.00","281.80","142.24K","0.35%"
"Aug 17, 2021","285.40","292.80","293.10","284.10","148.09K","-3.12%"
"Aug 16, 2021","294.60","287.20","296.00","283.50","125.67K","2.15%"
"Aug 13, 2021","288.40","290.40","293.80","288.00","149.21K","-1.40%"
"Aug 12, 2021","292.50","301.40","302.40","291.50","160.89K","-3.18%"
"Aug 11, 2021","302.10","305.70","307.60","296.10","136.75K","-0.59%"
"Aug 10, 2021","303.90","301.20","307.60","299.20","145.41K","0.96%"
"Aug 09, 2021","301.00","309.00","310.80","298.40","142.20K","-2.87%"
"Aug 06, 2021","309.90","306.90","311.30","304.40","173.85K","0.45%"
"Aug 05, 2021","308.50","309.10","312.20","305.20","191.69K","-0.42%"
"Aug 04, 2021","309.80","300.80","312.30","300.80","174.55K","3.27%"
"Aug 03, 2021","300.00","296.10","301.10","291.20","196.82K","1.52%"
"Aug 02, 2021","295.50","292.90","300.90","292.90","171.87K","1.90%"
"Jul 30, 2021","290.00","299.00","299.90","287.40","189.82K","-3.94%"
"Jul 29, 2021","301.90","296.00","304.40","292.10","211.42K","1.41%"
"Jul 28, 2021","297.70","294.10","298.50","286.00","183.07K","0.37%"
"Jul 27, 2021","296.60","303.90","306.30","295.50","9.37K","-2.50%"
"Jul 26, 2021","304.20","300.00","311.60","299.10","22.68K","0.73%"
"Jul 23, 2021","302.00","297.50","302.90","296.00","30.03K","1.89%"
"Jul 22, 2021","296.40","291.80","297.90","290.00","57.65K","0.78%"
"Jul 21, 2021","294.10","290.30","296.00","290.10","72.25K","2.12%"
"Jul 20, 2021","288.00","282.20","289.90","279.30","149.55K","2.02%"
"Jul 19, 2021","282.30","274.50","283.00","274.50","134.64K","3.18%"
"Jul 16, 2021","273.60","270.00","274.50","267.60","130.35K","0.92%"
"Jul 15, 2021","271.10","273.00","274.80","269.10","170.66K","-0.59%"
"Jul 14, 2021","272.70","276.20","279.80","270.60","177.09K","-0.91%"
"Jul 13, 2021","275.20","277.90","280.00","274.30","162.08K","-1.04%"
"Jul 12, 2021","278.10","274.20","280.80","270.50","172.71K","0.83%"
"Jul 09, 2021","275.80","274.80","279.20","273.10","147.00K","0.11%"
"Jul 08, 2021","275.50","268.40","278.40","265.30","207.81K","3.11%"
"Jul 07, 2021","267.20","274.90","277.20","263.90","194.04K","-2.16%"
"Jul 06, 2021","273.10","281.50","283.20","270.20","177.09K","-2.88%"
"Jul 05, 2021","281.20","277.50","281.80","276.50","103.95K","1.33%"
"Jul 02, 2021","277.50","274.20","278.80","269.30","173.91K","1.91%"
"Jul 01, 2021","272.30","270.50","280.20","268.40","242.68K","0.04%"
"Jun 30, 2021","272.20","275.20","279.50","268.50","244.43K","-0.22%"
"Jun 29, 2021","272.80","266.90","283.40","265.40","252.74K","1.79%"
"Jun 28, 2021","268.00","261.80","271.60","261.80","152.16K","3.32%"
"Jun 25, 2021","259.40","255.00","260.30","253.00","5.12K","2.01%"
"Jun 24, 2021","254.30","246.40","255.40","244.90","17.49K","2.79%"
"Jun 23, 2021","247.40","242.90","250.60","241.30","25.88K","2.10%"
"Jun 22, 2021","242.30","237.20","243.90","236.20","34.80K","2.67%"
"Jun 21, 2021","236.00","237.90","237.90","232.80","62.93K","-1.17%"
"Jun 18, 2021","238.80","238.50","241.70","234.00","101.82K","-0.62%"
"Jun 17, 2021","240.30","238.70","241.50","236.50","116.52K","0.97%"
"Jun 16, 2021","238.00","236.00","240.00","233.20","114.92K","0.13%"
"Jun 15, 2021","237.70","245.00","246.90","237.30","115.69K","-2.38%"
"Jun 14, 2021","243.50","241.60","244.50","239.60","95.39K","0.29%"
"Jun 11, 2021","242.80","231.40","243.80","231.40","129.67K","5.93%"
"Jun 10, 2021","229.20","229.90","233.40","228.80","149.23K","0.35%"
"Jun 09, 2021","228.40","228.10","231.00","226.70","129.36K","-0.39%"
"Jun 08, 2021","229.30","224.60","233.20","224.60","158.08K","3.01%"
"Jun 07, 2021","222.60","226.10","226.60","221.10","115.48K","-1.77%"
"Jun 04, 2021","226.60","222.90","227.40","220.10","206.29K","1.89%"
"Jun 03, 2021","222.40","224.50","225.90","221.40","122.21K","-0.36%"
"Jun 02, 2021","223.20","226.20","228.40","222.90","128.65K","-2.02%"
"Jun 01, 2021","227.80","222.40","229.70","222.40","162.42K","2.71%"
"May 31, 2021","221.80","219.70","222.30","219.20","105.84K","1.84%"
"May 28, 2021","217.80","215.00","221.20","214.60","137.88K","1.40%"
"May 27, 2021","214.80","220.00","220.50","212.40","150.80K","-2.27%"
"May 26, 2021","219.80","218.10","220.90","217.30","117.19K","3.73%"
"May 25, 2021","211.90","210.40","213.00","208.80","8.67K","0.81%"
"May 24, 2021","210.20","210.20","211.10","206.50","24.60K","-1.04%"
"May 21, 2021","212.40","217.00","217.90","210.90","53.70K","-0.56%"
"May 20, 2021","213.60","217.20","218.30","212.40","68.13K","-2.02%"
"May 19, 2021","218.00","219.00","219.90","215.30","125.37K","-1.13%"
"May 18, 2021","220.50","228.60","229.40","220.10","151.60K","-4.50%"
"May 17, 2021","230.90","217.80","231.20","217.80","219.90K","6.70%"
"May 14, 2021","216.40","218.60","221.00","215.80","155.18K","-0.87%"
"May 13, 2021","218.30","218.30","219.90","216.00","124.59K","-0.18%"
"May 12, 2021","218.70","216.00","219.30","214.90","144.37K","0.41%"
"May 11, 2021","217.80","214.40","218.00","212.00","181.37K","1.30%"
"May 10, 2021","215.00","217.70","218.40","213.40","170.18K","-0.92%"
"May 07, 2021","217.00","216.90","219.10","213.40","201.61K","0.65%"
"May 06, 2021","215.60","219.30","219.30","214.40","179.67K","-1.19%"
"May 05, 2021","218.20","219.80","221.30","215.80","162.24K","-0.41%"
"May 04, 2021","219.10","219.30","222.40","217.00","183.86K","0.09%"
"May 03, 2021","218.90","219.40","221.10","215.30","165.90K","0.41%"
"Apr 30, 2021","218.00","215.10","219.50","214.30","143.95K","1.68%"
"Apr 29, 2021","214.40","222.00","222.20","213.70","167.59K","-2.94%"
"Apr 28, 2021","220.90","219.20","222.90","218.30","132.16K","3.56%"
"Apr 27, 2021","213.30","208.40","214.30","207.30","7.32K","3.04%"
"Apr 26, 2021","207.00","203.80","207.50","202.00","21.91K","1.12%"
"Apr 23, 2021","204.70","206.80","207.30","204.30","42.25K","-1.06%"
"Apr 22, 2021","206.90","203.30","208.70","199.30","102.09K","1.97%"
"Apr 21, 2021","202.90","205.70","205.70","201.30","81.67K","-1.27%"
"Apr 20, 2021","205.50","205.20","207.30","204.10","130.16K","0.29%"
"Apr 19, 2021","204.90","202.30","205.70","201.90","161.78K","2.35%"
"Apr 16, 2021","200.20","199.40","201.50","198.30","132.34K","0.35%"
"Apr 15, 2021","199.50","196.90","200.80","194.20","180.34K","1.63%"
"Apr 14, 2021","196.30","198.20","200.40","195.80","118.92K","-0.66%"
"Apr 13, 2021","197.60","191.50","198.70","191.10","187.21K","2.92%"
"Apr 12, 2021","192.00","190.00","195.30","190.00","159.56K","1.53%"
"Apr 09, 2021","189.10","187.50","190.90","187.50","127.23K","1.34%"
"Apr 08, 2021","186.60","187.80","189.20","184.90","175.97K","-1.27%"
"Apr 07, 2021","189.00","181.50","189.90","180.90","195.87K","3.39%"
"Apr 06, 2021","182.80","185.10","188.90","181.80","168.98K","-0.44%"
"Apr 05, 2021","183.60","191.80","191.80","182.60","191.64K","-5.46%"
"Apr 01, 2021","194.20","191.00","195.40","189.60","196.51K","1.62%"
"Mar 31, 2021","191.10","193.70","194.50","189.00","165.09K","-0.78%"
"Mar 30, 2021","192.60","193.10","197.50","191.30","173.07K","-0.16%"
"Mar 29, 2021","192.90","190.90","193.50","188.90","113.26K","3.82%"
"Mar 26, 2021","185.80","186.40","187.10","184.30","41.88K","-0.43%"
"Mar 25, 2021","186.60","181.80","187.80","180.80","138.86K","1.91%"
"Mar 24, 2021","183.10","182.90","184.90","181.90","116.50K","-0.05%"
"Mar 23, 2021","183.20","185.80","186.80","182.60","131.04K","-1.51%"
"Mar 22, 2021","186.00","181.50","186.70","179.50","160.26K","1.20%"
"Mar 19, 2021","183.80","181.20","184.10","178.40","150.93K","1.32%"
"Mar 18, 2021","181.40","182.80","183.50","176.20","169.03K","-1.63%"
"Mar 17, 2021","184.40","185.50","186.30","181.20","126.19K","-0.22%"
"Mar 16, 2021","184.80","181.40","185.40","180.50","120.70K","1.82%"
"Mar 15, 2021","181.50","188.80","188.80","181.10","111.14K","-4.72%"
"Mar 12, 2021","190.50","194.30","196.20","189.30","143.60K","-1.70%"
"Mar 11, 2021","193.80","196.00","197.70","192.20","149.33K","-0.87%"
"Mar 10, 2021","195.50","193.50","196.30","191.20","170.23K","0.93%"
"Mar 09, 2021","193.70","195.10","195.40","192.20","126.38K","-0.41%"
"Mar 08, 2021","194.50","197.20","200.00","192.90","120.16K","-1.37%"
"Mar 05, 2021","197.20","200.80","201.80","196.80","129.57K","-1.74%"
"Mar 04, 2021","200.70","206.00","206.00","195.80","179.24K","-3.04%"
"Mar 03, 2021","207.00","208.40","210.80","206.40","168.42K","-0.91%"
"Mar 02, 2021","208.90","204.00","210.20","203.20","155.62K","2.75%"
"Mar 01, 2021","203.30","206.30","206.60","201.30","121.45K","-1.26%"
"Feb 26, 2021","205.90","202.50","206.80","199.00","201.90K","1.08%"
"Feb 25, 2021","203.70","204.00","207.80","201.50","210.61K","-0.63%"
"Feb 24, 2021","205.00","208.20","208.20","204.00","151.86K","-2.19%"
"Feb 23, 2021","209.60","212.70","214.60","206.60","54.19K","-0.43%"
"Feb 22, 2021","210.50","221.00","221.00","209.20","136.06K","-5.18%"
"Feb 19, 2021","222.00","221.20","228.30","218.70","185.56K","-1.38%"
"Feb 18, 2021","225.10","235.00","239.80","221.60","315.18K","-4.50%"
"Feb 17, 2021","235.70","225.50","237.70","221.80","341.27K","5.88%"
"Feb 16, 2021","222.60","221.30","234.40","219.70","335.27K","1.69%"
"Feb 15, 2021","218.90","216.90","221.70","216.40","181.13K","1.67%"
"Feb 12, 2021","215.30","207.00","216.60","206.20","309.91K","2.92%"
"Feb 11, 2021","209.20","215.80","221.50","207.20","327.87K","-0.99%"
"Feb 10, 2021","211.30","205.10","213.90","200.10","279.82K","3.02%"
"Feb 09, 2021","205.10","212.30","213.70","203.60","228.93K","-2.61%"
"Feb 08, 2021","210.60","214.10","217.70","207.70","245.14K","-2.45%"
"Feb 05, 2021","215.90","212.00","223.20","212.00","276.88K","3.70%"
"Feb 04, 2021","208.20","202.60","209.90","199.70","257.76K","1.86%"
"Feb 03, 2021","204.40","210.50","211.60","200.60","240.94K","-3.81%"
"Feb 02, 2021","212.50","208.60","219.80","205.60","235.76K","2.02%"
"Feb 01, 2021","208.30","191.80","210.20","191.80","162.79K","8.77%"
"Jan 29, 2021","191.50","195.00","198.30","190.70","201.33K","-1.14%"
"Jan 28, 2021","193.70","196.70","198.20","189.80","233.29K","-3.05%"
"Jan 27, 2021","199.80","190.00","200.80","190.00","204.44K","7.30%"
"Jan 25, 2021","186.20","184.00","188.80","182.80","87.94K","3.62%"
"Jan 22, 2021","179.70","182.10","182.10","176.40","165.02K","-0.55%"
"Jan 21, 2021","180.70","183.00","186.30","179.70","202.69K","-0.17%"
"Jan 20, 2021","181.00","187.00","187.50","178.80","186.41K","-3.47%"
"Jan 19, 2021","187.50","193.00","196.40","186.10","238.49K","-2.14%"
"Jan 18, 2021","191.60","199.20","199.20","188.30","178.22K","-4.01%"
"Jan 15, 2021","199.60","195.90","204.90","193.00","246.11K","1.01%"
"Jan 14, 2021","197.60","202.00","204.00","194.90","231.08K","-1.35%"
"Jan 13, 2021","200.30","204.00","207.00","198.30","256.28K","-3.33%"
"Jan 12, 2021","207.20","199.90","212.70","199.90","214.16K","5.23%"
"Jan 11, 2021","196.90","194.50","197.80","190.50","185.32K","-0.40%"
"Jan 08, 2021","197.70","198.20","199.30","192.10","204.86K","-1.69%"
"Jan 07, 2021","201.10","199.10","202.60","195.70","234.88K","-0.05%"
"Jan 06, 2021","201.20","197.60","203.20","191.20","252.17K","1.51%"
"Jan 05, 2021","198.20","190.60","200.40","190.60","216.95K","4.59%"
"Jan 04, 2021","189.50","189.10","195.50","188.30","222.49K","2.21%"
"Jan 01, 2021","185.40","182.70","188.00","182.70","24.38K","1.81%"
